tipolista,dataimportazione,dataaggiornamento,nomefile,lunghezzafile,errore,md5file,aggiornamenti,numerosoggetti
us,2026-07-05 19:02:37.638+00,2026-07-05 19:02:37.639+00,cuba.xml,262316,f,,N,-1
au,2026-07-06 05:00:07.316+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-07-06 05:00:36.212+00,2026-06-30 22:00:00+00,ofac_sdn.xml,28693057,f,,N,-1
ch,2026-07-06 05:01:30.622+00,2026-06-16 22:00:00+00,ch.xml,39878767,f,,N,-1
nsdn,2026-07-06 05:02:16.14+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-07-06 05:02:20.183+00,2026-07-04 21:00:06.467+00,onu.xml,2171560,f,,N,-1
eu,2026-07-06 05:02:24.847+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-07-06 05:02:44.835+00,2026-06-25 22:00:00+00,uk.xml,21491248,f,,N,-1
ca,2026-07-06 05:02:57.387+00,2026-07-06 05:03:01.872+00,ca.xml,1851227,f,,N,-1
us,2026-07-06 05:03:14.911+00,2026-07-06 05:03:14.912+00,cuba.xml,262316,f,,N,-1
au,2026-07-06 19:00:01.076+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-07-06 19:00:31.119+00,2026-06-30 22:00:00+00,ofac_sdn.xml,28693057,f,,N,-1
ch,2026-07-06 19:01:24.695+00,2026-06-16 22:00:00+00,ch.xml,39878767,f,,N,-1
nsdn,2026-07-06 19:01:54.105+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-07-06 19:01:57.718+00,2026-07-04 21:00:06.467+00,onu.xml,2171560,f,,N,-1
eu,2026-07-06 19:02:02.141+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-07-06 19:02:22.653+00,2026-07-05 22:00:00+00,uk.xml,21520075,f,,N,-1
ca,2026-07-06 19:02:35.563+00,2026-07-06 19:02:40.205+00,ca.xml,1850424,f,,N,-1
us,2026-07-06 19:02:55.127+00,2026-07-06 19:02:55.128+00,cuba.xml,262316,f,,N,-1
au,2026-07-07 05:00:00.47+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-07-07 05:00:27.304+00,2026-06-30 22:00:00+00,ofac_sdn.xml,28693057,f,,N,-1
ch,2026-07-07 05:01:18.089+00,2026-06-16 22:00:00+00,ch.xml,39878767,f,,N,-1
nsdn,2026-07-07 05:02:06.3+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-07-07 05:02:10.198+00,2026-07-06 21:00:02.195+00,onu.xml,2171560,f,,N,-1
eu,2026-07-07 05:02:14.597+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-07-07 05:02:34.986+00,2026-07-05 22:00:00+00,uk.xml,21520075,f,,N,-1
ca,2026-07-07 05:02:48+00,2026-07-07 05:02:52.565+00,ca.xml,1850424,f,,N,-1
us,2026-07-07 05:03:05.094+00,2026-07-07 05:03:05.095+00,cuba.xml,262316,f,,N,-1
au,2026-07-07 19:00:03.64+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-07-07 19:00:36.665+00,2026-06-30 22:00:00+00,ofac_sdn.xml,28693057,f,,N,-1
ch,2026-07-07 19:01:33.82+00,2026-06-16 22:00:00+00,ch.xml,39878767,f,,N,-1
nsdn,2026-07-07 19:01:59.585+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-07-07 19:02:04.033+00,2026-07-06 21:00:02.195+00,onu.xml,2171560,f,,N,-1
eu,2026-07-07 19:02:08.987+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-07-07 19:02:34.661+00,2026-07-06 22:00:00+00,uk.xml,21516813,f,,N,-1
ca,2026-07-07 19:02:51.406+00,2026-07-07 19:02:55.909+00,ca.xml,1850424,f,,N,-1
us,2026-07-07 19:03:10.189+00,2026-07-07 19:03:10.19+00,cuba.xml,262316,f,,N,-1
au,2026-07-08 05:00:05.132+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-07-08 05:00:28.062+00,2026-06-30 22:00:00+00,ofac_sdn.xml,28693057,f,,N,-1
ch,2026-07-08 05:01:17.619+00,2026-06-16 22:00:00+00,ch.xml,39878767,f,,N,-1
nsdn,2026-07-08 05:02:09.704+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-07-08 05:02:13.22+00,2026-07-07 21:00:02.264+00,onu.xml,2171560,f,,N,-1
eu,2026-07-08 05:02:17.267+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-07-08 05:02:36.785+00,2026-07-06 22:00:00+00,uk.xml,21516813,f,,N,-1
ca,2026-07-08 05:02:50.178+00,2026-07-08 05:02:54.727+00,ca.xml,1850424,f,,N,-1
us,2026-07-08 05:03:07.926+00,2026-07-08 05:03:07.927+00,cuba.xml,262316,f,,N,-1
au,2026-07-08 19:00:08.373+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-07-08 19:00:36.322+00,2026-06-30 22:00:00+00,ofac_sdn.xml,28693057,f,,N,-1
ch,2026-07-08 19:01:28.446+00,2026-06-16 22:00:00+00,ch.xml,39878767,f,,N,-1
